state_id,domain,entity_id,state,attributes,event_id,last_changed,last_updated,created,old_state_id
363660,sensor,sensor.xiaomiht_humi,80.67,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",383286,2021-07-14 03:23:23.230269,2021-07-14 03:23:23.230269,2021-07-14 03:23:23.230269,362659.0
363890,sensor,sensor.sonoffht_humi,86.28,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",383531,2021-07-14 03:36:33.757484,2021-07-14 03:36:33.757484,2021-07-14 03:36:33.757484,362817.0
364295,switch,switch.br3wallfan,on,"{""friendly_name"": ""Fan"", ""icon"": ""mdi:fan""}",383956,2021-07-14 04:06:00.902289,2021-07-14 04:06:00.902289,2021-07-14 04:06:00.902289,361741.0
364297,switch,switch.airpurifier,on,"{""friendly_name"": ""Air Purifier"", ""icon"": ""mdi:air-purifier""}",383961,2021-07-14 04:06:01.043936,2021-07-14 04:06:01.043936,2021-07-14 04:06:01.043936,360904.0
364329,sensor,sensor.sonoffht_temp,29.01,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",383997,2021-07-14 04:09:30.660533,2021-07-14 04:09:30.660533,2021-07-14 04:09:30.660533,363442.0
364338,sensor,sensor.sonoffht_humi,85.25,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",384006,2021-07-14 04:09:48.730241,2021-07-14 04:09:48.730241,2021-07-14 04:09:48.730241,363890.0
364377,sensor,sensor.sonoffht_humi,86.43,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",384049,2021-07-14 04:14:29.233279,2021-07-14 04:14:29.233279,2021-07-14 04:14:29.233279,364338.0
364393,sensor,sensor.sonoffht_humi,85.35,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",384066,2021-07-14 04:15:39.392366,2021-07-14 04:15:39.392366,2021-07-14 04:15:39.392366,364377.0
364450,sensor,sensor.xiaomiht_temp,29.21,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",384129,2021-07-14 04:21:11.893768,2021-07-14 04:21:11.893768,2021-07-14 04:21:11.893768,363659.0
364451,sensor,sensor.xiaomiht_humi,79.6,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",384130,2021-07-14 04:21:11.894486,2021-07-14 04:21:11.894486,2021-07-14 04:21:11.894486,363660.0
364540,sensor,sensor.sonoffht_humi,86.53,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",384225,2021-07-14 04:29:30.779461,2021-07-14 04:29:30.779461,2021-07-14 04:29:30.779461,364393.0
364968,switch,switch.br3walllight,on,"{""friendly_name"": ""Light"", ""icon"": ""mdi:ceiling-light""}",384683,2021-07-14 05:08:54.156580,2021-07-14 05:08:54.156580,2021-07-14 05:08:54.156580,361743.0
364970,sensor,sensor.sonoffht_temp,29.24,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",384685,2021-07-14 05:09:31.232264,2021-07-14 05:09:31.232264,2021-07-14 05:09:31.232264,364329.0
364993,sensor,sensor.xiaomiht_humi,81.94,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",384710,2021-07-14 05:11:38.944613,2021-07-14 05:11:38.944613,2021-07-14 05:11:38.944613,364451.0
365158,switch,switch.br3walllight,off,"{""friendly_name"": ""Light"", ""icon"": ""mdi:ceiling-light""}",384897,2021-07-14 05:27:34.617021,2021-07-14 05:27:34.617021,2021-07-14 05:27:34.617021,364968.0
365383,sensor,sensor.sonoffht_humi,84.48,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",385136,2021-07-14 05:49:25.985063,2021-07-14 05:49:25.985063,2021-07-14 05:49:25.985063,364540.0
365451,switch,switch.br3walllight,on,"{""friendly_name"": ""Light"", ""icon"": ""mdi:ceiling-light""}",385212,2021-07-14 05:56:05.414399,2021-07-14 05:56:05.414399,2021-07-14 05:56:05.414399,365158.0
